Name,Qualification,Experinence,Location,Specialty,Availability,Main-Location
Dr. Girija Wagh,"M.B.B.S., M.D (Obstetrics & Gynaecology)
            27 years experience
/ Obstetrician  ","M.B.B.S., M.D (Obstetrics & Gynaecology)
            27 years experience
/ Obstetrician  ",Pune - Pune,Gynaecologist,Wed : 5 PM - 8 PM,pune
Dr. Anand Kavi,"MBBS, M.S.(ORTHO)
            18 years experience
  ","MBBS, M.S.(ORTHO)
            18 years experience
  ",Pune - Pune,Spine,Mon & Fri : 11 : 00 AM - 1 : 30 PM,pune
Dr. Disha Bongale,"MBBS,DMRE
            15  years experience
  ","MBBS,DMRE
            15  years experience
  ",Pune - Pune,Radiology,Mon - Sat : 11:00 AM to 12:00 PM With Prior Appointment,pune
Dr. Nachiket Kulkarni,"DNB, fellow in clinical rheumotology
            4 years experience
  ","DNB, fellow in clinical rheumotology
            4 years experience
  ",Pune - Pune,Rheumatology,Sat : 6 : 30 PM - 8 : 00 PM,pune
Dr. Anand Jadhav,"MBBS , MCH (ortho), FRCS
            30 years experience
  ","MBBS , MCH (ortho), FRCS
            30 years experience
  ",Pune - Pune,Orthopaedic Surgeon,Mon - Sat : 11 : 00 AM - 3 : 00 PM,pune
Dr. Sanjay Nagarkar,"MD,MBBS
            35 years experience
  ","MD,MBBS
            35 years experience
  ",Pune - Pune,Internal Medicine,Mon - Sat : 10:00 AM to 2:00 PM,pune
Dr. Geeta Wadadekar,"M.S,DGO,DNB,M.B.B.S
            8 years experience
  ","M.S,DGO,DNB,M.B.B.S
            8 years experience
  ",Pune - Pune,Obstetrics & Gynaecology,Mon - Sat 6:00 PM to 7:00 PM,pune
Dr. Naresh Munot,"MBBS,MD,MRCP,DM,FCCP
            3 years experience
/ Internal Medicine  ","MBBS,MD,MRCP,DM,FCCP
            3 years experience
/ Internal Medicine  ",Pune - Pune,Cardiology,Mon - Sat : 5:00 PM to 6:00 PM,pune
Dr. Hemant Todkar,"MS, FCPS, DOMS, PGDMLS
            12 years experience
/ Ophthalmologist  ","MS, FCPS, DOMS, PGDMLS
            12 years experience
/ Ophthalmologist  ",Pune - Pune,Eye Surgeon,Mon to Sat : 10 :00 AM - 5 :00 PM,pune
Dr. Amit Sarode,"B.P.Th
            10 years experience
  ","B.P.Th
            10 years experience
  ",Pune - Pune,Physiotherapist,Mon - Sat: 11 AM - 2 PM,pune
Dr. Mayur Jawale,"MBBS,MS
            14 years experience
/ Ophthalmologist  ","MBBS,MS
            14 years experience
/ Ophthalmologist  ",Pune - Pune,Eye Surgeon,Wed : 10:00 AM to 1:00 PM,pune
Dr. Satish Pattanshetti,"MBBS,MS
            12 years experience
/ Laparoscopic Surgeon  ","MBBS,MS
            12 years experience
/ Laparoscopic Surgeon  ",Pune - Pune,General & Laparoscopic Surgeon,On call,pune
